Year,Month,PACIFIC_comp_1,ATLANTIC_comp_1
1918,4,-0.379683,-0.421669
1918,5,-0.278753,-0.472384
1918,6,-0.201762,-0.503423
1918,7,-0.0223,-0.538521
1918,8,0.0751,-0.703816
1918,9,0.20389,-0.409764
1918,10,0.403399,-0.300925
1918,11,0.412486,-0.180134
1918,12,0.413669,-0.174872
1919,1,0.4658,-0.165819
1919,2,0.455215,-0.125195
1919,3,0.355871,-0.258838
1919,4,0.265862,-0.339457
1919,5,0.271097,-0.337406
1919,6,0.126196,-0.313621
1919,7,0.113238,-0.367728
1919,8,0.0908,-0.343195
1919,9,0.188029,-0.342153
1919,10,0.0859,-0.279948
1919,11,0.0798,-0.288426
1919,12,0.197833,-0.39135
1920,1,0.253271,-0.413838
1920,2,0.239992,-0.271036
1920,3,0.181206,-0.163938
1920,4,0.0963,-0.231559
1920,5,0.0738,-0.0822
1920,6,0.073,-0.209978
1920,7,-0.0219,-0.216304
1920,8,0.0235,-0.284899
1920,9,0.011,-0.142427
1920,10,-0.0343,-0.110855
1920,11,-0.0874,-0.163037
1920,12,-0.226534,-0.0702
1921,1,-0.214434,-0.00218
1921,2,-0.390804,0.00608
1921,3,-0.57902,-0.178018
1921,4,-0.275437,-0.0464
1921,5,-0.264773,0.0234
1921,6,-0.213184,0.033
1921,7,-0.122188,0.136729
1921,8,-0.190303,-0.0202
1921,9,-0.144743,0.0321
1921,10,-0.0971,-0.0472
1921,11,-0.161845,-0.278063
1921,12,-0.122243,-0.365344
1922,1,-0.152427,-0.359668
1922,2,0.0175,-0.427361
1922,3,-0.0955,-0.358031
1922,4,-0.191248,-0.470178
1922,5,-0.129844,-0.30731
1922,6,-0.212663,-0.407813
1922,7,-0.272648,-0.423817
1922,8,-0.371869,-0.341528
1922,9,-0.262828,-0.331928
1922,10,-0.248733,-0.388747
1922,11,-0.235403,-0.46556
1922,12,-0.254247,-0.268883
1923,1,-0.226516,-0.272098
1923,2,-0.213176,-0.472772
1923,3,-0.145523,-0.437123
1923,4,0.00575,-0.532267
1923,5,-0.00398,-0.382066
1923,6,-0.0473,-0.392269
1923,7,-0.147826,-0.385216
1923,8,0.00264,-0.439539
1923,9,0.107314,-0.38589
1923,10,0.185023,-0.202072
1923,11,0.27073,0.0523
1923,12,0.254195,0.381207
1924,1,0.160371,0.436548
1924,2,0.182978,0.266038
1924,3,0.065,0.245758
1924,4,0.0227,0.265681
1924,5,-0.137124,0.134293
1924,6,-0.208154,-0.104326
1924,7,-0.285698,0.00275
1924,8,-0.360497,-0.0765
1924,9,-0.404173,-0.208655
1924,10,-0.430469,-0.312919
1924,11,-0.507095,-0.504501
1924,12,-0.419034,-0.43467
1925,1,-0.511764,-0.403282
1925,2,-0.38776,-0.493114
1925,3,-0.242554,-0.204212
1925,4,-0.12869,-0.093
1925,5,-0.144399,0.12756
1925,6,-0.0942,-0.022
1925,7,0.0657,0.0709
1925,8,0.148016,-0.00606
1925,9,0.196679,-0.227097
1925,10,0.227417,-0.237378
1925,11,0.370112,-0.131814
1925,12,0.418933,0.0179
1926,1,0.386239,0.167286
